"Name","Payroll_Vendor_Code__c"
"25250 - Stripe, Inc.","813000"
"99250 - Apple, Inc. Toronto",""
"27400 - Amazon LAX10","803700"
"40100 - Apple AZ, Mesa","800570"
"Amazon Brooklyn JFK13",""
"27250 - Amazon NYC-JFK7","803400"
"59800 - AMPAS Master","700400"
"21700 - Arques CA, Sunnyvale",""
"27600 - Amazon MA","803600"
"23250 - TX Fortis Construction","818000"
"21000 - UTX2 Austin, TX",""
"25000 - Twitter CA","804000"
"26000 - Amazon SLU","803000"
"31000 - eBay San Jose North","800600"
"31900 - eBay South Jordan","801400"
"20700 - Apple Austin","800500"
"25300 - FUSE CA, LA",""
"eBay Austin RSOC",""
"50000 - Special Operations","700600"
"42100 - Yelp IL","802400"
"99801 - Amazon Lab 126","803870"
"27550 - Amazon TX","803800"
"27150 - Amazon Manhattan LGA13","803300"
"27500 - Amazon DC","803850"
"41080 - Uber Los Angeles, CA",""
"24400 - Workday, CA","811000"
"21250 - UOR1 Portland, OR",""
"21300 - UCA2 Manhattan Beach, CA",""
"51100 - Amazon EP","700600"
"71400 - SIS Corp Administration","101900"
"27350 - Amazon JFK14",""
"21350 - UCA3 Santa Monica, CA",""
"20970 - Apple Taiwan",""
"21400 - UCA4 Irvine, CA",""
"21450 - UCA5 Los Angeles, CA",""
"20980 - Apple Tokyo",""
"20450 - Apple CA, Martin",""
"20990 - Apple Singapore",""
"24900 - Pegatron Elk Grove","819000"
"44100 - PayPal AZ, Phoenix","815045"
"42300 - GTAT AZ",""
"23100 - NC Facebook","812010"
"23150 - OR Facebook","812000"
"27000 - Amazon Orange County","803200"
"23050 - Iowa Facebook","812020"
"83100 - Chanel NY","900100"
"70700 - SIS Corp Uniforms","101800"
"50000 - Special Operations - Secure Logistics","700200"
"50000 - Special Operations - Executive Protection","700600"
"27100 - Amazon Manhattan LGA3",""
"50000 - Special Operations - Special Events","700400"
"60000 - EP One-Off MASTER","700600"
"41000 - Uber SF",""
"25150 - Beats CC","800550"
"27300 - Amazon LGA11",""
"60000 - Special Events One-Off MASTER","700400"
"25200 - GitHub, Inc.","807000"
"23600 - Nike NY, NYC","802600"
"27200 - Amazon NYC-JFK13","803400"
"20300 - Apple Maiden","800200"
"20000 - Apple Cupertino","800100"
"20600 - Apple Elk Grove","800400"
"70700 - SIS Corp Uniforms (Brazil)",""
"20400 - Apple Prineville","800150"
"20500 - Apple Newark","800300"
"81700 - Apple Retail - HI","900200"
"81600 - Apple Retail - CA - Southern","900200"
"81500 - Apple Retail - NW","900400"
"81300 - Apple Retail - SE","900300"
"81400 - Apple Retail - Midwest","900500"
"20950 - Apple San Gabriel",""
"23750 - Nike CA, Los Angeles","802900"
"99800 - Apple Mesa",""
"57060 - DFI Master","700900"
"57050 - SFPM Master","700700"
"23200 - Menlo Park, CA Facebook","812030"
"23650 - Nike IL, Chicago","802800"
"20900 - Apple Reno","800250"
"81301 - Retail - Apple - FL - Northern","900300"
"81302 - Retail - Apple - FL - Southern","900300"
"81402 - Retail - Apple - IL","900500"
"81408 - Retail - Apple - NV","900200"
"81404 - Retail - Apple - TX","900300"
"40000 - Legoland",""
"21500 - Apple AZ, Wittmann","800575"
"21050 - UIL1 Chicago, IL",""
"21100 - UWA3 Kirkland, WA",""
"21100 - UWA1 Kirkland, WA",""
"21200 - UWA3 Seattle, WA",""
"21150 - UWA2 Seattle, WA",""
"27700 - Concur Bellevue, WA",""
"20550 - Apple San Jose, CA",""
"27560 - Amazon AUS11 TX","803800"
"23400 - Nike OR, Beaverton","802500"
"27450 - Amazon DFW11","803500"
"33400 - Rakuten Inc. San Mateo, CA","802950"
"83650 - Hermes MA, Boston","900600"
"33600 - Synopsys Mountain View, CA","823000"
"33750 - Synopsys Hillsboro, OR","823300"
"58300 - Alliance of American Football Master","700400"
"38800 - Zymergen CA, Emeryville","800850"
