SIS_Barcode__c,IMS_Master__r_Billing_Location__r_Client_from_Parent__c,IMS_Master__r_Billing_Location__r_Job_From_Name__c,IMS_Master__r_Order_Group__c,IMS_Master__r_Product_Name__c,IMS_Master__r_Manufacturer__r_Name,IMS_Master__r_Manufacturer_Number__c,IMS_Master__r_Feature__c,IMS_Master__r_Color__c,IMS_Master__r_IMS_Build__r_Logo_Design_1__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_1__c,IMS_Master__r_IMS_Build__r_Logo_Design_2__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_2__c,IMS_Master__r_IMS_Build__r_Logo_Design_3__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_3__c,IMS_Master__r_IMS_Build__r_Logo_Design_4__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_4__c,Size__c,IMS_Master__r_Class__c,IMS_Master__r_Category__c,IMS_Master__r_Group__c,IMS_Master__r_Sub_Group__c,Id
00002515,"","",No Group,TacLite Pro Women's Ripstop,5.11 Tactical,64360,N/A,Black,"","","","","","","","",6,Uniform,Clothing,Campus,Specialist,a4b2K000000kIN6QAM
00003192,"","",No Group,Women's 100% Polyester Uniform Trousers,LawPro Uni,TT286,N/A,Heather Grey,"","","","","","","","",24,Uniform,Clothing,SpecOps,General,a4b2K000000zZf4QAE
00003191,"","",No Group,Women's 100% Polyester Uniform Trousers,LawPro Uni,TT286,N/A,Heather Grey,"","","","","","","","",20,Uniform,Clothing,SpecOps,General,a4b2K000000zZezQAE
00002498,"","",No Group,Taclite Pro,5.11 Tactical,74273,N/A,Khaki,"","","","","","","","",38,Uniform,Clothing,Campus,Specialist,a4b2K000000kIGPQA2
00002516,"","",No Group,TacLite Pro Women's Ripstop,5.11 Tactical,64360,N/A,Black,"","","","","","","","",16,Uniform,Clothing,Campus,Specialist,a4b2K000000kINBQA2
00003162,"","",No Group,100% Polyester Uniform Trousers,LawPro Uni,TT091,N/A,Heather Grey,"","","","","","","","",33,Uniform,Clothing,SpecOps,General,a4b2K000000zZdgQAE
00003163,"","",No Group,100% Polyester Uniform Trousers,LawPro Uni,TT091,N/A,Heather Grey,"","","","","","","","",33,Uniform,Clothing,SpecOps,General,a4b2K000000zZdhQAE
00003164,"","",No Group,100% Polyester Uniform Trousers,LawPro Uni,TT091,N/A,Heather Grey,"","","","","","","","",33,Uniform,Clothing,SpecOps,General,a4b2K000000zZdiQAE
00003165,"","",No Group,100% Polyester Uniform Trousers,LawPro Uni,TT091,N/A,Heather Grey,"","","","","","","","",33,Uniform,Clothing,SpecOps,General,a4b2K000000zZdjQAE
00003166,"","",No Group,100% Polyester Uniform Trousers,LawPro Uni,TT091,N/A,Heather Grey,"","","","","","","","",33,Uniform,Clothing,SpecOps,General,a4b2K000000zZdkQAE
