IMS_Master__r_Billing_Location__r_Client_from_Parent__c,IMS_Master__r_Billing_Location__r_Job_From_Name__c,IMS_Master__r_Order_Group__c,IMS_Master__r_Product_Name__c,IMS_Master__r_Manufacturer__r_Name,IMS_Master__r_Manufacturer_Number__c,IMS_Master__r_Feature__c,IMS_Master__r_Color__c,IMS_Master__r_IMS_Build__r_Logo_Design_1__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_1__c,IMS_Master__r_IMS_Build__r_Logo_Design_2__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_2__c,IMS_Master__r_IMS_Build__r_Logo_Design_3__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_3__c,IMS_Master__r_IMS_Build__r_Logo_Design_4__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_4__c,Size__c,IMS_Master__r_Class__c,IMS_Master__r_Category__c,IMS_Master__r_Group__c,IMS_Master__r_Sub_Group__c,Id
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch,Port Authority,K500,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XS,Uniform,Clothing,Campus,Specialist,a4bA00000016hDaIAI
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",15,Uniform,Clothing,Campus,General,a4bA00000016hAMIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",12,Uniform,Clothing,Campus,General,a4bA00000016h9TIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",13,Uniform,Clothing,Campus,General,a4bA00000016h9FIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",11.5,Uniform,Clothing,Campus,General,a4bA00000016h9OIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",S,Uniform,Clothing,Campus,Specialist,a4bA00000016hBPIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XS,Uniform,Clothing,Campus,Specialist,a4bA00000016hBFIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",14,Uniform,Clothing,Campus,General,a4bA00000016h9UIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",11,Uniform,Clothing,Campus,General,a4bA00000016h9JIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",M,Uniform,Clothing,Campus,Specialist,a4bA00000016hBQIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",L,Uniform,Clothing,Campus,Specialist,a4bA00000016hBRIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hBUIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",L,Uniform,Clothing,Campus,Specialist,a4bA00000016hCIIAY
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",M,Uniform,Clothing,Retail,Specialist,a4bA00000015tSkIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",XS,Uniform,Clothing,Retail,Specialist,a4bA00000015tSjIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",XL,Uniform,Clothing,Retail,Specialist,a4bA00000015tSyIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",2XL,Uniform,Clothing,Retail,Specialist,a4bA00000015tSzIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",L,Uniform,Clothing,Retail,Specialist,a4bA00000015tStIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",3XL,Uniform,Clothing,Retail,Specialist,a4bA00000015tT3IAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",S,Uniform,Clothing,Retail,Specialist,a4bA00000015tSoIAI
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",M,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTIIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",L,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTNIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",S,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTDIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",XL,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTEIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",2XL,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTFIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",4XL,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTGIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hCNIAY
